Source,CH1
Second,Volt
-0.00245760031,0.12200
-0.00245720031,0.12000
-0.00245680031,0.12000
-0.00245640031,0.11800
-0.00245600031,0.11800
-0.00245560031,0.12000
-0.00245520031,0.12000
-0.00245480031,0.12000
-0.00245440031,0.11800
-0.00245400031,0.12000
-0.00245360031,0.12000
-0.00245320031,0.12000
-0.00245280031,0.12000
-0.00245240031,0.12000
-0.00245200031,0.12000
-0.00245160031,0.11800
-0.00245120031,0.12000
-0.00245080031,0.11800
-0.00245040031,0.11800
-0.00245000031,0.11800
-0.00244960031,0.11800
-0.00244920031,0.12000
-0.00244880031,0.11800
-0.00244840031,0.12000
-0.00244800031,0.12000
-0.00244760031,0.12000
-0.00244720031,0.12000
-0.00244680031,0.11800
-0.00244640031,0.11800
-0.00244600016,0.11800
-0.00244560016,0.11800
-0.00244520016,0.11800
-0.00244480016,0.11800
-0.00244440016,0.11800
-0.00244400016,0.12000
-0.00244360016,0.12000
-0.00244320016,0.11800
-0.00244280016,0.11800
-0.00244240016,0.12000
-0.00244200016,0.12000
-0.00244160016,0.12000
-0.00244120016,0.11800
-0.00244080016,0.11800
-0.00244040016,0.11600
-0.00244000016,0.11800
-0.00243960016,0.11600
-0.00243920016,0.11600
-0.00243880016,0.11800
-0.00243840016,0.11800
-0.00243800016,0.11800
-0.00243760016,0.11800
-0.00243720016,0.11800
-0.00243680016,0.11800
-0.00243640016,0.11800
-0.00243600016,0.11800
-0.00243560016,0.11800
-0.00243520016,0.11800
-0.00243480016,0.11800
-0.00243440016,0.12000
-0.00243400016,0.11800
-0.00243360016,0.11800
-0.00243320016,0.12000
-0.00243280016,0.12000
-0.00243240016,0.12000
-0.00243200016,0.12000
-0.00243160016,0.12000
-0.00243120016,0.12000
-0.00243080016,0.12000
-0.00243040016,0.12200
-0.00243000016,0.12200
-0.00242960031,0.12200
-0.00242920031,0.12400
-0.00242880031,0.12200
-0.00242840031,0.12000
-0.00242800031,0.12000
-0.00242760031,0.11800
-0.00242720031,0.11800
-0.00242680031,0.12000
-0.00242640031,0.12000
-0.00242600031,0.12000
-0.00242560031,0.12000
-0.00242520031,0.12000
-0.00242480031,0.12000
-0.00242440031,0.12000
-0.00242400031,0.12000
-0.00242360031,0.11800
-0.00242320031,0.11800
-0.00242280031,0.11800
-0.00242240031,0.11600
-0.00242200031,0.11600
-0.00242160031,0.11600
-0.00242120031,0.11400
-0.00242080031,0.11600
-0.00242040031,0.11600
-0.00242000031,0.11600
-0.00241960031,0.11600
-0.00241920031,0.11800
-0.00241880031,0.12000
-0.00241840031,0.12000
-0.00241800031,0.11800
-0.00241760031,0.11800
-0.00241720031,0.12000
-0.00241680031,0.11800
-0.00241640031,0.12000
-0.00241600031,0.11800
-0.00241560016,0.11800
-0.00241520016,0.12000
-0.00241480016,0.12000
-0.00241440016,0.12000
-0.00241400016,0.12000
-0.00241360016,0.11800
-0.00241320016,0.12000
-0.00241280016,0.12000
-0.00241240016,0.12000
-0.00241200016,0.11800
-0.00241160016,0.12000
-0.00241120016,0.12000
-0.00241080016,0.12000
-0.00241040016,0.12000
-0.00241000016,0.12000
-0.00240960016,0.12200
-0.00240920016,0.12200
-0.00240880016,0.12000
