#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A42005
#Date Time: 2018-03-08 09:48:49.819
#Sample rate: 487805Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 100 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V

Time (s),Channel 1 (V)
-0.013466905555555554,-0.0058050239471821273
-0.013464855555555554,-0.0061408123235986321
-0.013462805555555554,-0.0058050239471821273
-0.013460755555555554,-0.006140812323599548
-0.013458705555555554,-0.0068123890764328621
-0.013456655555555554,-0.0064766007000160528
-0.013454605555555554,-0.0064766007000166635
-0.013452555555555554,-0.0071481774528508934
-0.013450505555555554,-0.0078197542056835968
-0.013448455555555554,-0.0068123890764334727
-0.013446405555555555,-0.0071481774528501301
-0.013444355555555555,-0.00681238907643332
-0.013442305555555555,-0.0071481774528499775
-0.013440255555555555,-0.0064766007000160528
-0.013438205555555555,-0.0064766007000160528
-0.013436155555555555,-0.0064766007000159002
-0.013434105555555555,-0.0061408123235990901
-0.013432055555555555,-0.0064766007000159002
-0.013430005555555555,-0.0061408123235987848
-0.013427955555555555,-0.005805023947181822
-0.013425905555555555,-0.0058050239471825853
-0.013423855555555555,-0.0074839658292683141
-0.013421805555555555,-0.0094986960877682589
-0.013419755555555555,-0.0054692355707648592
-0.013417705555555555,-0.0058050239471819746
-0.013415655555555555,-0.0061408123235992427
-0.013413605555555555,-0.0068123890764331674
-0.013411555555555555,-0.0068123890764330147
-0.013409505555555555,-0.0064766007000165108
-0.013407455555555555,-0.0074839658292666349
-0.013405405555555555,-0.005805023947181822
-0.013403355555555555,-0.0064766007000160528
-0.013401305555555555,-0.0078197542056845128
-0.013399255555555555,-0.0071481774528502828
-0.013397205555555555,-0.0074839658292673982
-0.013395155555555555,-0.0071481774528502828
-0.013393105555555555,-0.005805023947181822
-0.013391055555555555,-0.0071481774528502828
-0.013389005555555555,-0.0078197542056845128
-0.013386955555555555,-0.0071481774528502828
-0.013384905555555555,-0.0071481774528502828
-0.013382855555555555,-0.0074839658292673982
-0.013380805555555556,-0.0078197542056845128
-0.013378755555555556,-0.0074839658292673982
-0.013376705555555556,-0.0054692355707647066
-0.013374655555555556,-0.0061408123235989374
-0.013372605555555556,-0.0071481774528502828
-0.013370555555555556,-0.0081555425821016291
-0.013368505555555556,-0.0071481774528502828
