#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A42005
#Date Time: 2018-03-08 09:51:15.259
#Sample rate: 487805Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 100 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V

Time (s),Channel 1 (V)
-0.01403225,-0.0041260820650967029
-0.0140302,-0.0051334471943469805
-0.01402815,-0.0037902936886786715
-0.0140261,-0.0027829285594277841
-0.01402405,-0.0044618704415133603
-0.014022,-0.005805023947181822
-0.01401995,-0.0054692355707647066
-0.0140179,-0.0068123890764331674
-0.01401585,-0.0051334471943475912
-0.0140138,-0.0041260820650962449
-0.01401175,-0.0037902936886791295
-0.0140097,-0.0041260820650962449
-0.01400765,-0.0027829285594277841
-0.0140056,-0.0041260820650962449
-0.01400355,-0.0044618704415133603
-0.0140015,-0.0024471401830106687
-0.01399945,-0.0037902936886791295
-0.0139974,-0.0031187169358448995
-0.01399535,-0.0031187169358448995
-0.0139933,-0.0031187169358448995
-0.01399125,-0.0044618704415133603
-0.0139892,-0.0051334471943475912
-0.01398715,-0.0044618704415133603
-0.0139851,-0.0037902936886791295
-0.01398305,-0.0041260820650962449
-0.013981,-0.0034545053122620145
-0.01397895,-0.0054692355707647066
-0.0139769,-0.0034545053122620145
-0.01397485,-0.0027829285594277841
-0.0139728,-0.0034545053122620145
-0.013970750000000001,-0.0044618704415133603
-0.013968700000000001,-0.0027829285594277841
-0.013966650000000001,-0.0027829285594277841
-0.013964600000000001,-0.0021113518065938586
-0.013962550000000001,-0.002447140183010516
-0.013960500000000001,-0.0051334471943463699
-0.013958450000000001,-0.0047976588179306284
-0.013956400000000001,-0.0031187169358456628
-0.013954350000000001,-0.0037902936886788242
-0.013952300000000001,-0.0034545053122621672
-0.013950250000000001,-0.0021113518065941639
-0.013948200000000001,-0.0031187169358444415
-0.013946150000000001,-0.0041260820650957869
-0.013944100000000001,-0.0037902936886792821
-0.013942050000000001,-0.0051334471943469805
-0.013939999999999999,-0.0044618704415132077
-0.013937949999999999,-0.0041260820650959396
-0.013935899999999999,-0.0034545053122618618
-0.013933849999999999,-0.0031187169358453575
-0.013931799999999999,-0.0041260820650967029
-0.013929749999999999,-0.0051334471943480491
-0.013927699999999999,-0.0061408123235987848
-0.013925649999999999,-0.0058050239471816693
-0.0139236,-0.0054692355707648592
-0.01392155,-0.0058050239471810587
-0.0139195,-0.0041260820650963976
-0.01391745,-0.0044618704415132077
-0.0139154,-0.0041260820650967029
-0.01391335,-0.0051334471943475912
-0.0139113,-0.0047976588179304757
-0.01390925,-0.0061408123235989374
-0.0139072,-0.0061408123235989374
-0.01390515,-0.0047976588179304757
-0.0139031,-0.0041260820650962449
-0.01390105,-0.0051334471943475912
-0.013899,-0.0051334471943475912
-0.01389695,-0.0061408123235989374
-0.0138949,-0.005805023947181822
-0.01389285,-0.0054692355707647066
